Area,Metric,Current Value,Target Or Rule,Status,Owner,Last Updated,Next Action,Due Date,Source File
Income,Financial stability,"No reliable income; survival number UGX 2,000,000/month; stability target UGX 10,000,000/month","Stabilise income through receivables, clients, websites/apps sales, and job search",Critical,Simon,2026-05-03,"Prioritise money collection, client outreach, and job applications daily",2026-05-04,AI_HANDOFF.md
Clients,SchoolConnect balance,"UGX 1,000,000 outstanding","Collect outstanding balance",Critical,Simon,2026-05-03,"Confirm delivery status and send/prepare payment follow-up",2026-05-04,clients/client-crm.csv
Clients,Second paying client,"Not yet closed","Close a second paying client in Q2",Active,Simon,2026-05-03,"Follow up active leads and send outreach",2026-05-04,pipeline/client-acquisition/crm.csv
Career,Job search,"Active; target software/mobile developer; minimum salary UGX 3,000,000; remote or Kampala onsite","Prepare and submit strong applications with Simon approval",Active,Simon,2026-05-03,"Review job tracker and pick next 3 applications/follow-ups",2026-05-04,career/applications/job-application-tracker.csv
Execution,Daily success definition,"Tasks completed","Complete the top 3 tasks each day",Active,Simon,2026-05-03,"Use daily execution tracker at end of day",2026-05-04,operations/daily-execution/daily-execution-tracker.csv
Behavior,Procrastination risk,"Known recurring issue","Zoe should challenge avoidance directly",Watch,Simon/Zoe,2026-05-03,"Use anti-procrastination drill when tasks stall",2026-05-04,AI_HANDOFF.md
Workload,Too many projects,"Likely risk","Track everything but execute max 3 daily workstreams",Watch,Simon/Zoe,2026-05-03,"Rank daily work by income impact",2026-05-04,AI_HANDOFF.md
Weekly Review,Review freshness,"Last known review file: 2026-03-23","Run weekly every Sunday or when stale",Stale,Zoe,2026-05-03,"Run/draft catch-up weekly review",2026-05-03,operations/weekly-review/weekly-review-tracker.csv
Ventures,Active products,"Polish My CV active first; StatusCash limited active; Rotarise and Vee Eye Pee paused recommendations","One personal product sprint at a time until income stabilises",Active,Simon,2026-05-03,"Focus product work on Polish My CV or StatusCash only after money/job tasks",2026-05-05,ventures/venture-tracker.csv
Challenge,"Zero to $1,000","Ended","Do not use challenge as priority driver unless Simon restarts it",Closed,Simon,2026-05-03,"Archive or mark challenge docs as ended",2026-05-04,challenge/zero-to-1000/rules.md
Life,Habits and energy,"Track with same strictness as business","Daily habit logging",Active,Simon,2026-05-03,"Log sleep, spending, deep work, mood, anxiety",2026-05-04,life/habits/habit-tracker.csv
